property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
1743,353 Vernon Ave,Brooklyn,NY,11206-7576,Kings,Quadruplex,,,2625.0,2000.0,1931.0,1490395.0,1425000.0,2023-10-12,R6B,223560.0,Off Market,2021-09-10,0.0,Brooklyn
1744,59 Duffield St,Brooklyn,NY,11201-2005,Kings,Quadruplex,4.0,4.0,2508.0,1344.0,1910.0,1885037.0,985000.0,2004-08-16,R6B,436500.0,Off Market,2024-01-04,1970000.0,Brooklyn
1745,6642 Central Ave,Ridgewood,NY,11385-6551,Queens,Duplex,5.0,2.0,2457.0,2508.0,1930.0,986443.0,860000.0,2022-10-25,R5B,64740.0,Sold,2022-04-26,799000.0,Brooklyn
1746,65 Palmetto St,Brooklyn,NY,11221-4919,Kings,Duplex,4.0,2.0,1752.0,1667.0,1910.0,1370899.0,786000.0,2023-09-21,R6,74640.0,Off Market,2024-06-03,4500.0,Brooklyn
1747,1323 Dean St,Brooklyn,NY,11216-3402,Kings,Duplex,6.0,2.0,3040.0,2143.0,1899.0,2430468.0,2700000.0,2024-12-19,R6,127080.0,Off Market,2024-09-10,2849000.0,Brooklyn
1748,989 Hancock St,Brooklyn,NY,11221-4816,Kings,Triplex,10.0,4.0,3420.0,1900.0,1910.0,833679.0,802400.0,2023-12-13,R6,91800.0,Sold,2023-05-26,969000.0,Brooklyn
1749,266 Degraw St,Brooklyn,NY,11231-1129,Kings,Triplex,,,3960.0,2000.0,1998.0,3922771.0,265000.0,1997-03-06,R6B,326460.0,Off Market,,0.0,Brooklyn
1750,5930 Palmetto St,Ridgewood,NY,11385-3235,Queens,Duplex,6.0,3.0,2094.0,2658.0,1920.0,1457037.0,1420000.0,2023-11-30,R5B,64980.0,Sold,2022-10-04,1650000.0,Brooklyn
1751,246 Palmetto St,Brooklyn,NY,11221-4713,Kings,Duplex,,1.0,1600.0,2000.0,1910.0,1249261.0,730000.0,2021-06-03,R6,78000.0,,,0.0,Brooklyn
1752,70 Downing St,Brooklyn,NY,11238-2404,Kings,Duplex,3.0,1.0,3600.0,2030.0,1899.0,2742211.0,2725000.0,2024-08-12,R6B,175680.0,Off Market,2015-05-29,3500.0,Brooklyn
1753,35 Kane Pl,Brooklyn,NY,11233-3034,Kings,Triplex,,0.0,3132.0,1567.0,1901.0,1425492.0,,2021-08-20,R6B,84660.0,Off Market,,0.0,Brooklyn
1754,152 Weirfield St,Brooklyn,NY,11221-5123,Kings,Duplex,6.0,3.0,3000.0,2000.0,1920.0,2010045.0,1950000.0,2024-01-29,R6,88500.0,Off Market,2016-09-29,870000.0,Brooklyn
1755,94 Howard Ave,Brooklyn,NY,11233-1311,Kings,Duplex,,,1917.0,1223.0,1901.0,1408114.0,23000.0,2021-09-09,R6B,87600.0,Sold,,0.0,Brooklyn
1756,729 E New York Ave,Brooklyn,NY,11203-1201,Kings,Quadruplex,,,2699.0,1800.0,1910.0,434977.0,399000.0,2022-03-15,R6,163080.0,Off Market,,0.0,Brooklyn
1757,480 Warren St,Brooklyn,NY,11217-2591,Kings,Quadruplex,2.0,2.0,4445.0,2025.0,1925.0,2353185.0,2100000.0,2021-07-06,R6,787050.0,Off Market,2021-04-12,0.0,Brooklyn
1758,376 Greene Ave,Brooklyn,NY,11216-1108,Kings,Triplex,6.0,5.0,3100.0,1933.0,1901.0,2522493.0,10.0,2019-11-27,R6B,114960.0,Off Market,2021-10-05,2400000.0,Brooklyn
1759,732 Prospect Pl,Brooklyn,NY,11216-3602,Kings,Triplex,12.0,8.0,2922.0,2683.0,1935.0,1991255.0,400000.0,2015-06-29,R6A,76560.0,Active,2023-08-28,2050000.0,Brooklyn
1760,501 Monroe St,Brooklyn,NY,11221-1703,Kings,Duplex,2.0,2.0,2301.0,1917.0,1899.0,975263.0,,2018-09-05,R6B,77400.0,Off Market,2014-09-15,935000.0,Brooklyn
1761,91 3rd Pl,Brooklyn,NY,11231-4094,Kings,Quadruplex,,,3025.0,2000.0,1900.0,3024269.0,,2024-08-14,R6B,762480.0,Off Market,,0.0,Brooklyn
1762,2012 Menahan St,Ridgewood,NY,11385-1935,Queens,Quadruplex,8.0,4.0,3000.0,2500.0,1917.0,1320839.0,1265000.0,2022-10-07,R5B,265500.0,,,0.0,Brooklyn
1763,89 Weirfield St,Brooklyn,NY,11221-5120,Kings,Duplex,,3.0,3000.0,2000.0,1915.0,1494243.0,,,R6,85560.0,Off Market,2023-04-09,999990.0,Brooklyn
1764,199 Sullivan Pl,Brooklyn,NY,11225-2711,Kings,Duplex,6.0,5.0,2480.0,2497.0,1925.0,2081080.0,1840000.0,2018-05-25,R6,94920.0,,,0.0,Brooklyn
1765,414 Degraw St,Brooklyn,NY,11231-0966,Kings,Duplex,,0.0,2528.0,1667.0,1899.0,3728610.0,1450000.0,2021-04-01,R6B,201120.0,Off Market,,0.0,Brooklyn
1766,562 MacDonough St,Brooklyn,NY,11233-1512,Kings,Duplex,5.0,5.0,3402.0,1800.0,1899.0,1885329.0,,2023-07-18,R6B,115860.0,,,0.0,Brooklyn
1767,1028 Cypress Ave,Ridgewood,NY,11385-8151,Queens,Multi-Family Dwelling,10.0,5.0,3250.0,2500.0,1931.0,1459703.0,1300000.0,2020-11-16,R5B,66856.0,,,0.0,Brooklyn
1768,384 Kosciuszko St,Brooklyn,NY,11221-2006,Kings,Triplex,5.0,1.0,2400.0,2500.0,1899.0,2337610.0,755000.0,2016-12-12,R6B,78480.0,Off Market,2025-01-29,2300.0,Brooklyn
1769,505 Fairview Ave,Ridgewood,NY,11385-1940,Queens,Triplex,2.0,1.0,2280.0,2090.0,1917.0,1207709.0,,2024-06-21,R6B,62640.0,Sold,2019-04-08,1199999.0,Brooklyn
1770,413 Halsey St,Brooklyn,NY,11233-1014,Kings,Duplex,,,1360.0,1783.0,1899.0,1342378.0,10.0,2011-11-07,R6B,81600.0,Off Market,,0.0,Brooklyn
1771,6067 54th St,Maspeth,NY,11378-3327,Queens,Quadruplex,4.0,4.0,2300.0,2500.0,1915.0,965203.0,860000.0,2020-02-12,R4,196650.0,Active,2020-02-01,899000.0,Brooklyn
