property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
2488,599 W End Ave,New York,NY,10024-1730,New York,Cooperative Unit,0.0,0.0,19320.0,1840.0,1923.0,664084.0,,,R10A,1629000.0,Off Market,,0,Manhattan
2489,418 E 78th St,New York,NY,10075-1690,New York,Apartment House (5+ Units),,,7356.0,2886.0,1930.0,4180802.0,3150000.0,2009-01-14,R8B,792090.0,,,0,Manhattan
2490,233 W 26th St,New York,NY,10001-6711,New York,Cooperative Unit,2.0,2.0,47433.0,4912.0,1926.0,1010896.0,2608125.0,2023-07-20,C62A,4403970.0,,,0,Manhattan
2491,411 W 44th St,New York,NY,10036-4406,New York,Cooperative Unit,2.0,1.0,21540.0,5021.0,1920.0,511086.0,690000.0,2019-10-21,R8,2210450.0,Off Market,,0,Manhattan
2492,523 E 83rd St,New York,NY,10028-7229,New York,Apartment House (5+ Units),,,9185.0,2554.0,1910.0,1299241.0,11000000.0,2017-04-30,R8B,1267480.0,,,0,Manhattan
2493,151 E 90th St,New York,NY,10128-2349,New York,Apartment House (5+ Units),1.0,1.0,38500.0,7550.0,1930.0,16646637.0,15000000.0,2021-05-14,C18X,2615850.0,Off Market,,0,Manhattan
2494,78 Charles St,New York,NY,10014-2637,New York,Cooperative Unit,1.0,1.0,9900.0,2621.0,1900.0,1097044.0,869000.0,2005-04-29,R6,1207620.0,Off Market,2018-04-23,0,Manhattan
2495,127 W 92nd St,New York,NY,10025-7506,New York,Apartment House (5+ Units),,,6936.0,2013.0,1920.0,2821370.0,,,R7-2,929500.0,,,0,Manhattan
2496,336 E 90th St,New York,NY,10128-5167,New York,Apartment House (5+ Units),,,8590.0,2518.0,1930.0,991073.0,,,R8B,993150.0,,,0,Manhattan
2497,363 W 30th St,New York,NY,10001-2751,New York,Highrise Apartment,,,85853.0,8030.0,2000.0,1513332.0,3280000.0,1999-11-24,C62A,6168440.0,,,0,Manhattan
2498,59 W 94th St,New York,NY,10025-7146,New York,Apartment House (5+ Units),2.0,2.0,4828.0,2013.0,1899.0,2420803.0,,2002-04-12,R7-2,291298.0,Off Market,2009-09-27,0,Manhattan
2499,425 E 6th St,New York,NY,10009-6311,New York,Apartment House (5+ Units),,,9648.0,2270.0,1920.0,2460069.0,3000000.0,2023-07-14,R8B,513060.0,,,0,Manhattan
2500,143 E 26th St,New York,NY,10010,New York,Apartment House (5+ Units),,,20040.0,4773.0,1907.0,10905991.0,8600000.0,2012-12-26,R8B,2420720.0,,,0,Manhattan
2501,135 Hudson St,New York,NY,10013-3073,New York,Cooperative Unit,1.0,1.0,22363.0,3727.0,1915.0,2161692.0,1775000.0,2015-02-18,C62A,2070078.0,Sold,2010-04-22,0,Manhattan
